yolov3-voc
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
384
Loaded: 0.000029 seconds
Region 82 Avg IOU: 0.164842, Class: 0.421191, Obj: 0.600294, No Obj: 0.474231, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494679, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470732, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.070734, Class: 0.222560, Obj: 0.641401, No Obj: 0.475954, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494505, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470106, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.124930, Class: 0.348704, Obj: 0.564211, No Obj: 0.475276, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494564, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469265, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.410858, Class: 0.285975, Obj: 0.553473, No Obj: 0.474639, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494859, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.468763, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.311402, Class: 0.429373, Obj: 0.576165, No Obj: 0.473823, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494079, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.471889, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.283305, Class: 0.268916, Obj: 0.699938, No Obj: 0.473890, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.494070, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470762, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.131430, Class: 0.300595, Obj: 0.731977, No Obj: 0.474351, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495371, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470462, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.270022, Class: 0.341237, Obj: 0.441222, No Obj: 0.475927, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.495187, .5R: -nan, .75R: -nan,  count: 0
